,word,year,proportion,zipf_test,moment
326,bantamweight,1884,9.233777623930731e-09,6.063601371883457,0.08451542547285164
121,lari,1992,9.233777623930731e-09,26.427856721275226,0.08451542547285164
361,gentoo penguin,1860,9.233789560717053e-09,-0.40074510995122536,0.08451542547285164
123,paclitaxel,1992,9.233777623930731e-09,2.1408358476701683,0.08451542547285164
287,loden,1911,9.233777623930731e-09,3.980110700831388,0.08451542547285164
290,shockproof,1911,9.233777623930731e-09,4.167587259249378,0.08451542547285164
358,oil shale,1866,9.233789560717053e-09,2.92129110056782,0.08451542547285164
392,shorthorn,1847,9.233777623930731e-09,-0.7153197002592852,0.08451542547285164
293,carotenoid,1911,9.233777623930731e-09,17.71600585680234,0.08451542547285165
96,hassium,1992,9.233777623930731e-09,0.7441205625673674,0.08451542547285165
112,rubel,1992,9.233777623930731e-09,3.605068111730422,0.08451542547285165
281,twirp,1923,9.233777623930731e-09,11.088689722167695,0.08451542547285165
279,snowbrush,1923,9.233777623930731e-09,-0.7936808777581296,0.08451542547285165
87,shojo,1994,9.233777623930731e-09,0.12848962777600148,0.08451542547285165
75,ad server,1996,9.233789560717053e-09,1.210981478872161,0.08451542547285165
199,hominoid,1949,9.233777623930731e-09,0.11149386662392667,0.08451542547285165
412,trona,1799,9.233777623930731e-09,6.3542653168589815,0.08451542547285165
193,joint compound,1954,9.233789560717053e-09,-0.1153711920297201,0.08451542547285165
190,snowcat,1955,9.233777623930731e-09,4.771727743295438,0.08451542547285165
189,fermium,1955,9.233777623930731e-09,12.216176221129622,0.08451542547285165
185,navaid,1956,9.233777623930731e-09,1.2259148289171962,0.08451542547285165
210,schlump,1948,9.233777623930731e-09,-0.5090181421210689,0.08451542547285165
179,attosecond,1962,9.233777623930731e-09,-0.6373084380195027,0.08451542547285165
175,tamari,1965,9.233777623930731e-09,10.974075765463288,0.08451542547285165
164,himbo,1988,9.233777623930731e-09,1.5602461061613335,0.08451542547285165
233,fluorocarbon,1937,1.8467555247861462e-08,9.659677061751825,0.08451542547285165
265,hydric,1926,9.233777623930731e-09,3.087249281887124,0.08451542547285165
240,stratovolcano,1937,9.233777623930731e-09,7.3569962001715,0.08451542547285165
245,electron volt,1930,9.233789560717053e-09,0.3125430957198038,0.08451542547285165
248,delist,1929,9.233777623930731e-09,1.1022868676130224,0.08451542547285165
251,kilohertz,1929,9.233777623930731e-09,2.2440040012022906,0.08451542547285165
252,nisei,1929,9.233777623930731e-09,4.830244452420226,0.08451542547285165
253,rotorcraft,1929,9.233777623930731e-09,2.11965077570392,0.08451542547285165
255,tag sale,1929,9.233789560717053e-09,-0.0113262726388294,0.08451542547285165
238,saltimbocca,1937,9.233777623930731e-09,-0.5666813655908889,0.08451542547285165
198,cold warrior,1949,9.233789560717053e-09,1.191141869813375,0.08451542547285165
380,butyl,1850,9.233777623930731e-09,5.471465263389108,0.08451542547285165
41,bokeh,2000,9.233777623930731e-09,-0.5617394520836161,0.08451542547285165
350,index number,1875,9.233789560717053e-09,17.170747166885974,0.08451542547285165
